target_id	length	eff_length	est_counts	tpm
b0001	66	13.4167	0	0
b0002	2463	2320.29	102	1.99742
b0003	933	790.286	22	1.26488
b0004	1287	1144.29	48	1.90598
b0005	297	154.286	11	3.2395
b0006	777	634.286	21	1.50434
b0007	1431	1288.29	16	0.564312
b0008	954	811.286	252	14.1136
b0009	588	445.286	55	5.61222
b0010	567	424.286	107	11.4587
b0011	714	571.286	12	0.954419
b0013	405	262.286	3	0.519706
b0014	1917	1774.29	100	2.56087
b0015	1131	988.286	83	3.81599
b0016	1113	970.286	64.3333	3.01264
b4412	153	29.2819	8.39218	13.0223
b0018	210	69.8632	8.60782	5.5983
b4413	55	18.5	1	2.45606
b0019	1167	1024.29	75	3.32699
b0020	906	763.286	44	2.61925
b0021	504	361.286	18.5613	2.33436
b0022	276	133.286	6.6737	2.27506
b0023	264	121.298	274	102.638
b0024	219	77.6371	3	1.75575
b0025	942	799.286	82	4.66147
b0026	2817	2674.29	505	8.58015
b0027	495	352.286	38	4.90117
b0028	450	307.286	55	8.13264
b0029	951	808.286	70	3.935
b0030	915	772.286	15	0.88252
b0031	822	679.286	23	1.53846
b0032	1149	1006.29	748	33.7747
b0033	3222	3079.29	1382	20.3924
b0034	396	253.286	27	4.84355
b0035	591	448.286	7	0.709503
b0036	786	643.286	6	0.423798
b0037	1554	1411.29	13	0.418543
b0038	1218	1075.29	7	0.295791
b0039	1143	1000.29	49	2.22578
b0040	1515	1372.29	2	0.0662211
b0041	771	628.286	1	0.0723193
b0042	942	799.286	6	0.341083
b0043	1287	1144.29	6	0.238247
b0044	288	145.286	0	0
b0045	1332	1189.29	6	0.229233
b0046	531	388.286	14	1.63828
b0047	1863	1720.29	31	0.81879
b0048	480	337.286	31	4.17614
b0049	843	700.286	51	3.30907
b0050	378	235.286	24	4.63475
b0051	822	679.286	63	4.21405
b0052	990	847.286	30	1.6088
b0053	1287	1144.29	99	3.93108
b0054	2355	2212.29	86	1.76632
b0055	816	673.286	31	2.09206
b4659	1613	1470.29	18	0.556265
b0058	660	517.286	216	18.9729
b0059	2907	2764.29	393	6.45983
b0060	2352	2209.29	47	0.966623
b0061	696	553.286	53	4.35249
b0062	1503	1360.29	188	6.2797
b0063	1701	1558.29	275	8.01857
b0064	879	736.286	744	45.9132
b0065	765	622.286	94	6.86356
b0066	699	556.286	36	2.94046
b0067	1611	1468.29	105	3.2493
b0068	984	841.286	88	4.75281
b0069	1656	1513.29	28	0.840714
b4662	132	18.7815	0	0
b4577	227	84.8741	5	2.67674
b0070	1179	1036.29	21	0.92077
b0071	606	463.286	27	2.64805
b0072	1401	1258.29	36	1.29997
b0073	1092	949.286	32	1.53167
b0074	1572	1429.29	45	1.43056
b0075	87	11.0437	0	0
b0076	945	802.286	8	0.453077
b0077	1725	1582.29	17	0.488175
b0078	492	349.286	6	0.780515
b0080	1005	862.286	38	2.00237
b0081	459	316.286	95	13.6476
b0082	942	799.286	230	13.0749
b0083	366	223.286	28	5.69781
b0084	1767	1624.29	136	3.80441
b0085	1488	1345.29	81	2.73578
b0086	1359	1216.29	46	1.71844
b0087	1083	940.286	24	1.15975
b0088	1317	1174.29	40	1.54774
b0089	1245	1102.29	30	1.23663
b0090	1068	925.286	50	2.4553
b0091	1476	1333.29	93	3.16936
b0092	921	778.286	48	2.80229
b0093	831	688.286	63	4.15894
b0094	1263	1120.29	100	4.05585
b0095	1152	1009.29	151	6.79789
b0096	918	775.286	1008	59.0758
b0097	513	370.286	33	4.04938
b0098	2706	2563.29	195	3.4566
b0099	390	247.286	19	3.49113
