target_id	length	eff_length	est_counts	tpm
b0001	66	18.6667	3	6.73911
b0002	2463	2320.85	707	12.7738
b0003	933	790.852	277	14.687
b0004	1287	1144.85	323	11.8304
b0005	297	154.852	6	1.62473
b0006	777	634.852	31	2.04756
b0007	1431	1288.85	12	0.390414
b0008	954	811.852	2112	109.085
b0009	588	445.852	54	5.07867
b0010	567	424.852	10	0.986983
b0011	714	571.852	1	0.073327
b0013	405	262.852	1	0.159528
b0014	1917	1774.85	1527	36.0765
b0015	1131	988.852	409	17.3436
b0016	1113	970.852	43.6667	1.88601
b4412	153	28.0814	2.33867	3.4922
b0018	210	70.5435	1.66133	0.98752
b4413	55	15.7273	0	0
b0019	1167	1024.85	70	2.86408
b0020	906	763.852	14	0.76854
b0021	504	361.852	1.66449	0.192885
b0022	276	133.866	3.33332	1.04413
b0023	264	121.866	572	196.817
b0024	219	78.4375	0	0
b0025	942	799.852	138	7.23464
b0026	2817	2674.85	893	13.9991
b0027	495	352.852	72	8.55632
b0028	450	307.852	56	7.62769
b0029	951	808.852	101	5.236
b0030	915	772.852	23	1.2479
b0031	822	679.852	102	6.2912
b0032	1149	1006.85	1220	50.8091
b0033	3222	3079.85	3184	43.3502
b0034	396	253.852	19	3.13848
b0035	591	448.852	2	0.186842
b0036	786	643.852	2	0.130254
b0037	1554	1411.85	3	0.0891004
b0038	1218	1075.85	8	0.311806
b0039	1143	1000.85	10	0.418965
b0040	1515	1372.85	0	0
b0041	771	628.852	2	0.133361
b0042	942	799.852	1	0.0524249
b0043	1287	1144.85	0	0
b0044	288	145.852	0	0
b0045	1332	1189.85	3	0.105725
b0046	531	388.852	5	0.539179
b0047	1863	1720.85	25	0.609178
b0048	480	337.852	40	4.96456
b0049	843	700.852	52	3.11118
b0050	378	235.852	16	2.84464
b0051	822	679.852	86	5.30434
b0052	990	847.852	108	5.34135
b0053	1287	1144.85	295	10.8049
b0054	2355	2212.85	454	8.60303
b0055	816	673.852	47	2.9247
b4659	1613	1470.85	11	0.313597
b0058	660	517.852	33	2.67212
b0059	2907	2764.85	160	2.42659
b0060	2352	2209.85	133	2.52369
b0061	696	553.852	1311	99.2559
b0062	1503	1360.85	4390	135.27
b0063	1701	1558.85	4115	110.691
b0064	879	736.852	379	21.5678
b0065	765	622.852	18	1.21181
b0066	699	556.852	28	2.10846
b0067	1611	1468.85	126	3.597
b0068	984	841.852	165	8.21856
b0069	1656	1513.85	23	0.637077
b4662	132	17.1984	1.25757e-05	3.06615e-05
b4577	227	85.7115	5.99999	2.93534
b0070	1179	1036.85	17	0.687511
b0071	606	463.852	72	6.50879
b0072	1401	1258.85	186	6.19564
b0073	1092	949.852	136	6.00386
b0074	1572	1429.85	137	4.0177
b0075	87	13.1102	7	22.3891
b0076	945	802.852	0	0
b0077	1725	1582.85	141	3.73531
b0078	492	349.852	38	4.55456
b0080	1005	862.852	73	3.5476
b0081	459	316.852	64	8.46975
b0082	942	799.852	106	5.55704
b0083	366	223.852	20	3.74641
b0084	1767	1624.85	102	2.63229
b0085	1488	1345.85	140	4.36193
b0086	1359	1216.85	110	3.79055
b0087	1083	940.852	53	2.36212
b0088	1317	1174.85	125	4.46143
b0089	1245	1102.85	62	2.35734
b0090	1068	925.852	80	3.62323
b0091	1476	1333.85	103	3.238
b0092	921	778.852	80	4.30708
b0093	831	688.852	77	4.68719
b0094	1263	1120.85	166	6.21023
b0095	1152	1009.85	512	21.2598
b0096	918	775.852	555	29.9959
b0097	513	370.852	73	8.2541
b0098	2706	2563.85	433	7.08178
