target_id	length	eff_length	est_counts	tpm
b0001	66	16.3684	0	0
b0002	2463	2324.28	445	7.48904
b0003	933	794.278	62	3.05333
b0004	1287	1148.28	119	4.05372
b0005	297	158.278	16	3.95414
b0006	777	638.278	26	1.59337
b0007	1431	1292.28	39	1.18049
b0008	954	815.278	342	16.4087
b0009	588	449.278	139	12.1019
b0010	567	428.278	305	27.8566
b0011	714	575.278	23	1.56388
b0013	405	266.278	1	0.146899
b0014	1917	1778.28	111	2.44162
b0015	1131	992.278	138	5.44001
b0016	1113	974.278	143	5.74126
b4412	153	29.277	16.6659	22.2667
b0018	210	73.1881	18.3341	9.79881
b4413	55	22.8571	0	0
b0019	1167	1028.28	172	6.54292
b0020	906	767.278	100	5.09802
b0021	504	365.278	22.7041	2.43128
b0022	276	137.293	4.22154	1.20275
b0023	264	125.293	576	179.825
b0024	219	81.3805	3	1.44197
b0025	942	803.278	122	5.94084
b0026	2817	2678.28	837	12.2243
b0027	495	356.278	82	9.00282
b0028	450	311.278	64	8.04239
b0029	951	812.278	93	4.4785
b0030	915	776.278	41	2.06595
b0031	822	683.278	20	1.14495
b0032	1149	1010.28	584	22.6113
b0033	3222	3083.28	1151	14.6021
b0034	396	257.278	20	3.04075
b0035	591	452.278	23	1.98919
b0036	786	647.278	10	0.604315
b0037	1554	1415.28	21	0.580406
b0038	1218	1079.28	16	0.579883
b0039	1143	1004.28	49	1.90852
b0040	1515	1376.28	11	0.312637
b0041	771	632.278	7	0.433056
b0042	942	803.278	7	0.340868
b0043	1287	1148.28	12	0.408779
b0044	288	149.278	0	0
b0045	1332	1193.28	3	0.0983408
b0046	531	392.278	10	0.997148
b0047	1863	1724.28	40	0.907417
b0048	480	341.278	74	8.48159
b0049	843	704.278	76	4.22108
b0050	378	239.278	28	4.57729
b0051	822	683.278	84	4.80879
b0052	990	851.278	75	3.44623
b0053	1287	1148.28	160	5.45038
b0054	2355	2216.28	114	2.01203
b0055	816	677.278	38	2.19468
b4659	1613	1474.28	14	0.371452
b0058	660	521.278	366	27.4641
b0059	2907	2768.28	784	11.078
b0060	2352	2213.28	66	1.16644
b0061	696	557.278	18	1.26344
b0062	1503	1364.28	72	2.06435
b0063	1701	1562.28	138	3.45521
b0064	879	740.278	1096	57.9121
b0065	765	626.278	145	9.05638
b0066	699	560.278	67	4.67762
b0067	1611	1472.28	186	4.94171
b0068	984	845.278	117	5.41427
b0069	1656	1517.28	71	1.83041
b4662	132	18.0438	0.234773	0.50895
b4577	227	88.7827	3.76523	1.65889
b0070	1179	1040.28	38	1.42886
b0071	606	467.278	78	6.5294
b0072	1401	1262.28	140	4.33837
b0073	1092	953.278	134	5.49844
b0074	1572	1433.28	157	4.28473
b0075	87	12.7647	1	3.06439
b0076	945	806.278	15	0.727713
b0077	1725	1586.28	32	0.789087
b0078	492	353.278	10	1.10723
