target_id	length	eff_length	est_counts	tpm
b0001	66	12.8421	0	0
b0002	2463	2325.56	40	0.519497
b0003	933	795.564	11	0.417608
b0004	1287	1149.56	31	0.814478
b0005	297	159.586	5	0.946295
b0006	777	639.564	14	0.661142
b0007	1431	1293.56	12	0.280185
b0008	954	816.564	265	9.80181
b0009	588	450.564	48	3.21763
b0010	567	429.564	34	2.39057
b0011	714	576.564	5	0.261923
b0013	405	267.564	7	0.790171
b0014	1917	1779.56	288	4.88798
b0015	1131	993.564	291	8.84602
b0016	1113	975.564	62.3333	1.92981
b4412	153	30.6681	18.1727	17.8972
b0018	210	74.0569	6.82727	2.78441
b4413	55	21.1818	0	0
b0019	1167	1029.56	99	2.90424
b0020	906	768.564	42	1.65052
b0021	504	366.564	5.35611	0.441317
b0022	276	138.586	4.26264	0.92899
b0023	264	126.586	149	35.551
b0024	219	82.1871	0	0
b0025	942	804.564	89	3.34103
b0026	2817	2679.56	198	2.23178
b0027	495	357.564	9	0.76022
b0028	450	312.564	37	3.57531
b0029	951	813.564	54	2.00472
b0030	915	777.564	24	0.932236
b0031	822	684.564	20	0.882403
b0032	1149	1011.56	1100	32.8436
b0033	3222	3084.56	963	9.42939
b0034	396	258.564	10	1.16811
b0035	591	453.564	6	0.399543
b0036	786	648.564	4	0.186276
b0037	1554	1416.56	12	0.255856
b0038	1218	1080.56	9	0.251561
b0039	1143	1005.56	13	0.390467
b0040	1515	1377.56	0	0
b0041	771	633.564	1	0.0476717
b0042	942	804.564	1	0.0375397
b0043	1287	1149.56	1	0.0262735
b0044	288	150.586	2	0.401141
b0045	1332	1194.56	3	0.0758512
b0046	531	393.564	11	0.844166
b0047	1863	1725.56	28	0.490092
b0048	480	342.564	40	3.5267
b0049	843	705.564	43	1.8407
b0050	378	240.564	23	2.88767
b0051	822	684.564	68	3.00017
b0052	990	852.564	18	0.637671
b0053	1287	1149.56	51	1.33995
b0054	2355	2217.56	130	1.77059
b0055	816	678.564	42	1.86943
b4659	1613	1475.56	10	0.204688
b0058	660	522.564	56	3.23668
b0059	2907	2769.56	190	2.07202
b0060	2352	2214.56	17	0.231852
b0061	696	558.564	14	0.757017
b0062	1503	1365.56	127	2.80894
b0063	1701	1563.56	783	15.1251
b0064	879	741.564	1606	65.4105
b0065	765	627.564	48	2.31012
b0066	699	561.564	10	0.537838
b0067	1611	1473.56	29	0.594402
b0068	984	846.564	160	5.70836
b0069	1656	1518.56	18	0.358006
b4662	132	19.6867	0	0
b4577	227	89.7854	6	2.01835
b0070	1179	1041.56	36	1.04392
b0071	606	468.564	14	0.902422
b0072	1401	1263.56	15	0.358546
b0073	1092	954.564	11	0.348047
b0074	1572	1434.56	14	0.294754
b0075	87	11.7656	1	2.56707
b0076	945	807.564	1	0.0374002
b0077	1725	1587.56	15	0.285372
