target_id	length	eff_length	est_counts	tpm
b0001	66	5.63444	497	506.008
b0002	2463	2366.39	5715	13.8542
b0003	933	836.386	2572	17.6407
b0004	1287	1190.39	4233	20.3992
b0005	297	200.386	625	17.8922
b0006	777	680.386	1150	9.69603
b0007	1431	1334.39	1731	7.44162
b0008	954	857.386	11538	77.1979
b0009	588	491.386	2562	29.9094
b0010	567	470.386	1554	18.9517
b0011	714	617.386	335	3.11272
b0013	405	308.386	153	2.84609
b0014	1917	1820.39	20220	63.7191
b0015	1131	1034.39	24273	134.615
b0016	1113	1016.39	4619.33	26.0719
b4412	153	58.6749	435.208	42.5497
b0018	210	113.386	594.792	30.0924
b4413	55	13.8889	257	106.149
b0019	1167	1070.39	6061	32.483
b0020	906	809.386	2837	20.1074
b0021	504	407.386	1305.79	18.3874
b0022	276	179.386	528.413	16.898
b0023	264	167.386	9961	341.378
b0024	219	122.386	68	3.18734
b0025	942	845.386	7578	51.4223
b0026	2817	2720.39	13648	28.78
b0027	495	398.386	800	11.5196
b0028	450	353.386	2867	46.5404
b0029	951	854.386	2362	15.8591
b0030	915	818.386	1849	12.9608
b0031	822	725.386	1227	9.70347
b0032	1149	1052.39	58859	320.841
b0033	3222	3125.39	54934	100.83
b0034	396	299.386	1950	37.3641
b0035	591	494.386	298	3.45781
b0036	786	689.386	235	1.9555
b0037	1554	1457.39	429	1.68863
b0038	1218	1121.39	421	2.15367
b0039	1143	1046.39	577	3.16326
b0040	1515	1418.39	85	0.343776
b0041	771	674.386	73	0.620963
b0042	942	845.386	46	0.312144
b0043	1287	1190.39	89	0.428898
b0044	288	191.386	21	0.629449
b0045	1332	1235.39	153	0.710461
b0046	531	434.386	1298	17.1416
b0047	1863	1766.39	1650	5.35858
b0048	480	383.386	3969	59.3877
b0049	843	746.386	3991	30.674
b0050	378	281.386	1457	29.7036
b0051	822	725.386	3278	25.9234
b0052	990	893.386	1440	9.24645
b0053	1287	1190.39	3722	17.9366
b0054	2355	2258.39	6449	16.3812
b0055	816	719.386	3201	25.5256
b4659	1613	1516.39	510	1.92935
b0058	660	563.386	3145	32.0233
b0059	2907	2810.39	8455	17.2584
b0060	2352	2255.39	1432	3.64228
b0061	696	599.386	2431	23.2664
b0062	1503	1406.39	19577	79.8534
b0063	1701	1604.39	69367	248.025
b0064	879	782.386	202096	1481.8
b0065	765	668.386	2517	21.6027
b0066	699	602.386	588	5.59956
b0067	1611	1514.39	829	3.14029
b0068	984	887.386	7888	50.9925
b0069	1656	1559.39	911	3.35132
b4662	132	40.4298	0	0
b4577	227	130.386	347	15.2669
b0070	1179	1082.39	3484	18.4649
b0071	606	509.386	1527	17.1966
b0072	1401	1304.39	1220	5.36544
b0073	1092	995.386	2154	12.4138
b0074	1572	1475.39	1522	5.9178
b0075	87	11.061	532	275.911
b0076	945	848.386	110	0.743791
b0077	1725	1628.39	1440	5.07291
b0078	492	395.386	687	9.96752
b0080	1005	908.386	1431	9.03693
b0081	459	362.386	2685	42.5035
b0082	942	845.386	4374	29.6808
b0083	366	269.386	1937	41.2483
b0084	1767	1670.39	3963	13.61
b0085	1488	1391.39	2940	12.1214
b0086	1359	1262.39	981	4.45788
b0087	1083	986.386	1442	8.38629
b0088	1317	1220.39	2048	9.62685
b0089	1245	1148.39	3477	17.3687
b0090	1068	971.386	3734	22.0513
b0091	1476	1379.39	6134	25.5099
b0092	921	824.386	4360	30.3394
b0093	831	734.386	4974	38.8538
b0094	1263	1166.39	8571	42.1542
b0095	1152	1055.39	8512	46.2671
b0096	918	821.386	25775	180.013
b0097	513	416.386	2941	40.5182
b0098	2706	2609.39	9997	21.9777
b0099	390	293.386	639	12.4943
b0101	198	101.397	2236	126.503
b0102	744	647.386	2762	24.4744
b0103	621	524.386	1042	11.399
b0104	1044	947.386	7825	47.3815
b0106	1203	1106.39	657	3.40652
b0107	1386	1289.39	738	3.28341
b0108	441	344.386	56	0.932812
b0109	894	797.386	1285	9.24456
b0110	552	455.386	316	3.9807
b0111	855	758.386	1163	8.79713
b0112	1374	1277.39	2575	11.564
b0113	765	668.386	7723	66.2842
b0114	2664	2567.39	14167	31.6547
b0115	1893	1796.39	10690	34.1373
b0116	1425	1328.39	39810	171.917
b0117	1854	1757.39	773	2.52327
b0118	2598	2501.39	50463	115.729
b0119	363	266.386	3684	79.3341
b0120	795	698.386	3063	25.1596
b0121	867	770.386	8490	63.2195
b0122	348	251.386	951	21.7016
b0123	1551	1454.39	5268	20.7787
b0124	2391	2294.39	3527	8.81842
b0125	537	440.386	6081	79.2124
b0126	663	566.386	5242	53.0929
b0127	927	830.386	2381	16.4487
b0128	771	674.386	2153	18.3142
b0129	441	344.386	606	10.0944
b0130	1230	1133.39	1914	9.68759
b0131	381	284.386	12605	254.265
b0132	903	806.386	1171	8.33039
b0133	852	755.386	5446	41.3581
b0134	795	698.386	4357	35.7885
b0135	1239	1142.39	80	0.401725
b0136	597	500.386	32	0.366857
b0137	606	509.386	30	0.337851
b0138	570	473.386	28	0.339308
b0139	2598	2501.39	130	0.298136
b0140	741	644.386	60	0.534142
b0141	585	488.386	17	0.199681
b0142	480	383.386	282	4.21953
b0143	1398	1301.39	18316	80.7377
b0144	927	830.386	1293	8.93244
b0145	456	359.386	28394	453.228
b0146	705	608.386	1038	9.78745
b0147	531	434.386	663	8.75567
b0148	2430	2333.39	4490	11.0385
b0149	2535	2438.39	6183	14.5462
b0150	2244	2147.39	5872	15.6866
b0151	798	701.386	1163	9.51205
b0152	891	794.386	823	5.94319
b0153	1983	1886.39	2939	8.93759
b0154	1281	1184.39	12071	58.4658
b0155	1422	1325.39	4418	19.1221
b0156	345	248.386	6677	154.208
b0157	624	527.386	1648	17.9259
b0158	801	704.386	524	4.26749
b0159	699	602.386	4286	40.8159
b0160	1518	1421.39	775	3.12782
b0161	1425	1328.39	4174	18.0252
b0162	1158	1061.39	669	3.6158
b0163	387	290.386	3028	59.818
b0164	813	716.386	413	3.30716
b0166	825	728.386	5774	45.4744
b0167	2673	2576.39	2331	5.19019
b0168	795	698.386	5147	42.2776
b4414	136	43.6624	19632	2579.34
b0169	726	629.386	39187	357.171
b0170	852	755.386	18984	144.169
b0171	726	629.386	12034	109.684
b0172	558	461.386	8479	105.422
b0173	1197	1100.39	1628	8.48713
b0174	762	665.386	10644	91.7662
b0175	858	761.386	9685	72.9703
b0176	1353	1256.39	26334	120.239
b0177	2433	2336.39	22104	54.2723
b0178	486	389.386	7608	112.084
b0179	1026	929.386	12026	74.2295
b0180	456	359.386	9862	157.418
b0181	789	692.386	8437	69.9023
b0182	1149	1052.39	5189	28.2853
b0183	597	500.386	1862	21.3465
b0184	3483	3386.39	12924	21.8933
b0185	960	863.386	13191	87.6444
b0186	2142	2045.39	2074	5.81681
b0187	390	293.386	968	18.9272
b0188	1299	1202.39	2068	9.86639
b0189	255	158.386	920	33.3213
b4406	201	104.397	2125	116.768
b0190	546	449.386	3495	44.6148
b0191	423	326.386	1487	26.1355
b0192	711	614.386	5180	48.366
b0193	825	728.386	690	5.43424
b0194	1719	1622.39	11591	40.9844
b0195	708	611.386	1599	15.0032
b0196	405	308.386	2981	55.4522
b0197	816	719.386	2497	19.9117
b0198	654	557.386	658	6.77207
b0199	1032	935.386	920	5.6422
b0200	576	479.386	2618	31.3282
b0201	1542	1445.39	35842	142.253
b0202	77	7.099	18072.7	14604.2
b0203	76	6.79685	1203	1015.34
b0204	2904	2807.39	19741.2	40.3388
b0205	120	31.4039	1085.78	198.34
b0206	77	7.099	6255	5054.54
b0207	804	707.386	23221	188.311
