target_id	length	eff_length	est_counts	tpm
b0001	66	4.86053	1444	2839.33
b0002	2463	2364.47	15318	61.9158
b0003	933	834.47	8063	92.3463
b0004	1287	1188.47	8117	65.2741
b0005	297	198.47	288	13.8686
b0006	777	678.47	1592	22.4257
b0007	1431	1332.47	717	5.14275
b0008	954	855.47	39316	439.236
b0009	588	489.47	1969	38.4462
b0010	567	468.47	595	12.1386
b0011	714	615.47	124	1.92552
b0013	405	306.47	23	0.717255
b0014	1917	1818.47	28150	147.947
b0015	1131	1032.47	20723	191.827
b0016	1113	1014.47	3040.67	28.6459
b4412	153	58.1511	26.6108	4.37355
b0018	210	111.487	217.389	18.6358
b4413	55	8	53	63.3169
b0019	1167	1068.47	3545	31.7094
b0020	906	807.47	1365	16.1562
b0021	504	405.47	455.669	10.7405
b0022	276	177.47	115.544	6.2224
b0023	264	165.487	13509	780.177
b0024	219	120.487	54	4.28339
b0025	942	843.47	8014	90.8057
b0026	2817	2718.47	34033	119.649
b0027	495	396.47	2063	49.7305
b0028	450	351.47	2467	67.0833
b0029	951	852.47	7034	78.86
b0030	915	816.47	3846	45.0197
b0031	822	723.47	4933	65.1665
b0032	1149	1050.47	52301	475.839
b0033	3222	3123.47	137751	421.493
b0034	396	297.47	2470	79.3574
b0035	591	492.47	204	3.95899
b0036	786	687.47	139	1.93239
b0037	1554	1455.47	359	2.35735
b0038	1218	1119.47	227	1.93797
b0039	1143	1044.47	313	2.86406
b0040	1515	1416.47	39	0.263142
b0041	771	672.47	63	0.895367
b0042	942	843.47	86	0.974456
b0043	1287	1188.47	77	0.619207
b0044	288	189.47	18	0.907958
b0045	1332	1233.47	70	0.542379
b0046	531	432.47	1096	24.2208
b0047	1863	1764.47	2848	15.4262
b0048	480	381.47	5977	149.746
b0049	843	744.47	5782	74.2274
b0050	378	279.47	1212	41.4478
b0051	822	723.47	4854	64.1228
b0052	990	891.47	6802	72.9228
b0053	1287	1188.47	7945	63.8909
b0054	2355	2256.47	14644	62.0245
b0055	816	717.47	2358	31.4104
b4659	1613	1514.47	420	2.65047
b0058	660	561.47	1352	23.0136
b0059	2907	2808.47	4772	16.2392
b0060	2352	2253.47	6293	26.6894
b0061	696	597.47	47786	764.396
b0062	1503	1404.47	207687	1413.29
b0063	1701	1602.47	188352	1123.35
b0064	879	780.47	70181	859.403
b0065	765	666.47	1613	23.1306
b0066	699	600.47	1447	23.0309
b0067	1611	1512.47	2293	14.4894
b0068	984	885.47	9051	97.6914
b0069	1656	1557.47	1081	6.63345
b4662	132	40.2859	0	0
b4577	227	128.487	199	14.8023
b0070	1179	1080.47	1717	15.1877
b0071	606	507.47	1822	34.314
b0072	1401	1302.47	3386	24.8458
b0073	1092	993.47	3249	31.2556
b0074	1572	1473.47	2116	13.7249
b0075	87	11.0282	490	424.642
b0076	945	846.47	42	0.474211
b0077	1725	1626.47	4041	23.7452
b0078	492	393.47	1504	36.5317
b0080	1005	906.47	3884	40.9505
b0081	459	360.47	2130	56.4734
b0082	942	843.47	2912	32.9955
b0083	366	267.47	1905	68.0697
b0084	1767	1668.47	7087	40.5955
b0085	1488	1389.47	9656	66.4174
b0086	1359	1260.47	3770	28.5853
b0087	1083	984.47	4613	44.7831
b0088	1317	1218.47	6247	48.9993
b0089	1245	1146.47	5032	41.948
b0090	1068	969.47	6670	65.7544
b0091	1476	1377.47	8515	59.0794
b0092	921	822.47	5239	60.8782
b0093	831	732.47	3356	43.7891
b0094	1263	1164.47	6802	55.8267
b0095	1152	1053.47	20539	186.333
b0096	918	819.47	16509	192.54
b0097	513	414.47	2244	51.7444
b0098	2706	2607.47	17114	62.7286
b0099	390	291.47	1002	32.8555
b0101	198	99.5902	1651	158.44
b0102	744	645.47	2085	30.8719
b0103	621	522.47	1256	22.9753
b0104	1044	945.47	22523	227.673
b0106	1203	1104.47	322	2.78635
b0107	1386	1287.47	291	2.16018
b0108	441	342.47	35	0.97674
b0109	894	795.47	1830	21.9867
b0110	552	453.47	708	14.9217
b0111	855	756.47	1621	20.4798
b0112	1374	1275.47	1662	12.4536
b0113	765	666.47	3112	44.6265
b0114	2664	2565.47	49266	183.533
b0115	1893	1794.47	37913	201.923
b0116	1425	1326.47	106760	769.209
b0117	1854	1755.47	253	1.3774
b0118	2598	2499.47	143130	547.288
b0119	363	264.47	3993	144.297
b0120	795	696.47	9636	132.229
b0121	867	768.47	8005	99.5561
b0122	348	249.47	761	29.1541
b0123	1551	1452.47	6141	40.4078
b0124	2391	2292.47	2728	11.373
b0125	537	438.47	10026	218.535
b0126	663	564.47	8984	152.112
b0127	927	828.47	1804	20.811
b0128	771	672.47	1187	16.8699
b0129	441	342.47	398	11.1069
b0130	1230	1131.47	707	5.97186
b0131	381	282.47	9760	330.226
b0132	903	804.47	466	5.53617
b0133	852	753.47	11011	139.667
b0134	795	696.47	9178	125.944
b0135	1239	1140.47	29	0.243023
b0136	597	498.47	8	0.153386
b0137	606	507.47	7	0.131832
b0138	570	471.47	3	0.0608136
b0139	2598	2499.47	17	0.0650032
b0140	741	642.47	8	0.119007
b0141	585	486.47	1	0.0196462
b0142	480	381.47	694	17.3873
b0143	1398	1299.47	18964	139.475
b0144	927	828.47	1166	13.451
b0145	456	357.47	32272	862.819
b0146	705	606.47	652	10.2748
b0147	531	432.47	492	10.8728
b0148	2430	2331.47	3657	14.9909
b0149	2535	2436.47	5765	22.6137
b0150	2244	2145.47	7725	34.412
b0151	798	699.47	1206	16.4783
b0152	891	792.47	1246	15.0269
b0153	1983	1884.47	1681	8.52534
b0154	1281	1182.47	8452	68.3129
b0155	1422	1323.47	2560	18.4867
b0156	345	246.47	5559	215.559
b0157	624	525.47	1225	22.2803
b0158	801	702.47	1305	17.7548
b0159	699	600.47	6917	110.093
b0160	1518	1419.47	1018	6.85417
b0161	1425	1326.47	6244	44.9882
b0162	1158	1059.47	1041	9.39065
b0163	387	288.47	678	22.4627
b0164	813	714.47	203	2.71547
b0166	825	726.47	15328	201.651
b0167	2673	2574.47	5625	20.8818
b0168	795	696.47	8613	118.191
b4414	136	43.5991	24613	5395.36
b0169	726	627.47	56665	863.089
b0170	852	753.47	24316	308.432
b0171	726	627.47	10236	155.909
b0172	558	459.47	8647	179.863
b0173	1197	1098.47	1793	15.6
b0174	762	663.47	9070	130.653
b0175	858	759.47	6274	78.9528
b0176	1353	1254.47	10400	79.2331
b0177	2433	2334.47	24713	101.174
b0178	486	387.47	18003	444.059
b0179	1026	927.47	21827	224.92
b0180	456	357.47	11042	295.217
b0181	789	690.47	10782	149.241
b0182	1149	1050.47	7898	71.8567
b0183	597	498.47	2828	54.2218
b0184	3483	3384.47	17344	48.977
b0185	960	861.47	16740	185.716
b0186	2142	2043.47	2242	10.4858
b0187	390	291.47	679	22.2643
b0188	1299	1200.47	1941	15.4528
b0189	255	156.487	283	17.2839
b4406	201	102.54	1257	117.159
b0190	546	447.47	2243	47.907
b0191	423	324.47	1105	32.5478
b0192	711	612.47	2622	40.9149
b0193	825	726.47	206	2.71009
b0194	1719	1620.47	35105	207.043
b0195	708	609.47	845	13.2507
b0196	405	306.47	1713	53.4199
b0197	816	717.47	3357	44.7179
b0198	654	555.47	1392	23.9504
b0199	1032	933.47	1000	10.2384
b0200	576	477.47	2439	48.8202
b0201	1542	1443.47	10684.7	70.744
b0202	77	7.25596	6709.33	8837.27
b0203	76	6.94892	833.667	1146.59
b0204	2904	2805.47	8708.93	29.6683
b0205	120	31.0601	357.941	110.139
b0206	77	7.25596	2391.33	3149.77
b0207	804	705.47	357	4.83641
b0208	915	816.47	514	6.01667
b0209	801	702.47	1068	14.5304
b0210	624	525.47	286	5.20178
b0211	1359	1260.47	6036	45.7668
b0212	756	657.47	578	8.40205
b0213	723	624.47	541	8.27979
b0214	468	369.47	738	19.0902
b0215	732	633.47	1228	18.527
b0216	77	7.25596	2391.33	3149.77
b0217	786	687.47	21	0.291944
b4586	480	381.47	1	0.0250538
b0218	357	258.47	4	0.147905
b4503	273	174.47	34	1.86248
b0219	771	672.47	697	9.90589
b0220	474	375.47	7791	198.313
b0221	2445	2346.47	3158	12.8627
b0222	579	480.47	5960	118.553
b0223	768	669.47	3770	53.82
b0224	741	642.47	3071	45.6836
b0225	279	180.47	177	9.37351
b0226	261	162.487	310	18.2338
b0227	750	651.47	125	1.83379
b0228	498	399.47	213	5.096
b0229	1713	1614.47	124	0.734049
b0230	756	657.47	45	0.654139
b0231	1056	957.47	664	6.62791
b0232	294	195.47	75	3.66703
b0233	399	300.47	48	1.52677
b0234	453	354.47	95	2.5614
b0235	207	108.487	2	0.176192
b0236	501	402.47	25	0.593663
b0237	1458	1359.47	21606	151.893
b0238	459	360.47	12865	341.094
b0239	1245	1146.47	2315	19.2984
b0240	402	303.47	8522	268.386
b0241	1056	957.47	43	0.429217
